Darwin_Corpo,Darwin_Tenis,Darwin_Boca,Gumball_Corpo,Gumball_Camisa,Gumball_Gola,Classe
207,0,0,0,0,3714,Gumball
0,32,0,0,35,1286,Gumball
49025,0,0,0,181,40,Darwin
0,3,0,0,4,87,Gumball
99,0,16,0,0,1838,Gumball
0,2,0,0,4,271,Gumball
0,0,0,0,4,0,Gumball
0,0,0,0,4,3,Gumball
0,0,0,0,1,0,Gumball
1530,0,0,0,0,446,Darwin
0,0,0,0,0,129,Gumball
19176,0,24783,0,8,108,Darwin
6,0,0,0,1,31,Gumball
300,88,0,35,0,2068,Gumball
41359,0,0,0,0,2980,Darwin
0,0,0,0,0,1450,Gumball
0,0,0,0,0,6442,Gumball
917,0,0,0,0,598,Darwin
2067,36,0,0,184,965,Darwin
0,0,0,0,0,1377,Gumball
800,0,0,0,1312,6298,Gumball
3572,0,0,0,4,780,Darwin
0,0,0,5,0,11183,Gumball
7355,0,0,0,0,238,Darwin
0,0,0,16,0,2181,Gumball
30807,882,1,0,15,150,Darwin
35015,0,0,0,0,247,Darwin
0,0,0,0,0,848,Gumball
0,0,0,0,0,515,Gumball
57,0,0,0,0,229,Gumball
207,1,0,0,0,1398,Gumball
80870,0,0,0,0,176,Darwin
3152,13,0,0,0,298,Darwin
10100,37,0,0,0,674,Darwin
0,0,0,0,0,0,Darwin
18,518,0,0,1,162,Darwin
0,0,0,0,0,230,Gumball
15842,0,0,0,0,12542,Darwin
91365,0,33,0,0,10088,Darwin
2697,0,1,0,0,1650,Darwin
0,0,0,0,0,10160,Gumball
14117,75,0,0,0,456,Darwin
7490,0,0,36,4,5010,Darwin
3322,0,0,0,16,287,Darwin
4009,0,0,0,0,5082,Gumball
0,0,0,0,0,2037,Gumball
490,0,0,0,0,2879,Gumball
3,0,0,0,0,1638,Gumball
0,0,0,0,0,1771,Gumball
0,0,0,0,0,1798,Gumball
0,0,0,0,0,45,Gumball
0,0,0,0,0,105,Gumball
3871,12,374,0,65,101,Darwin
22914,0,0,0,0,80,Darwin
4379,0,0,0,1,590,Darwin
3,0,0,0,1,45,Gumball
2222,0,0,0,14,3075,Gumball
0,0,0,0,0,5712,Gumball
59,0,0,0,1,1405,Gumball
529,0,0,0,224,1549,Gumball
3978,0,0,0,0,5946,Gumball
0,0,0,136,0,1639,Gumball
39115,0,0,9,0,27203,Darwin
30500,0,385,12,0,24487,Darwin
887,0,0,9,8,16483,Gumball
0,0,0,0,0,8100,Gumball
0,0,0,9,0,2011,Gumball
0,0,0,7,0,21212,Gumball
1276,0,0,14,27,4720,Gumball
1685,0,52,10,85,5495,Gumball
7441,0,0,10,0,616,Darwin
80352,0,0,10,0,93,Darwin
125599,0,0,594,0,3688,Darwin
0,0,0,22,0,2973,Gumball
8577,247,0,0,238,587,Darwin
11682,0,0,0,10,36,Darwin
